Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
0,0,335,6,0,0,2,0,0,26,19,3916,46135
0,0,300,6,0,0,2,0,1,28,19,3916,40650
0,0,300,6,0,0,2,0,0,28,20,3916,36350
0,0,230,6,0,0,2,0,0,28,18,3916,29450
0,0,230,6,0,0,2,0,1,28,18,3916,34500
0,0,230,6,0,0,2,0,0,28,18,3916,31200
0,0,300,6,0,0,2,0,1,26,17,3916,44100
0,0,300,6,0,0,2,0,0,28,20,3916,39300
0,0,230,6,0,0,2,0,1,28,18,3916,36900
0,0,230,6,0,0,2,0,1,27,18,3916,37200
0,0,300,6,0,0,2,0,0,28,20,3916,39600
0,0,230,6,0,0,2,0,0,28,19,3916,31500
0,0,300,6,0,0,2,0,1,28,19,3916,44400
0,0,230,6,0,0,2,0,1,28,19,3916,37200
0,0,230,6,0,0,2,0,0,28,19,3916,31500
0,0,320,6,0,0,2,0,1,25,18,3916,48250
0,0,320,6,0,0,2,0,0,28,20,3916,43550
1,1,172,6,0,1,4,1,2,24,17,3105,2000
1,1,172,6,0,1,4,1,2,24,17,3105,2000
1,1,172,6,1,2,4,1,3,20,16,3105,2000
1,1,172,6,0,1,4,1,2,24,17,3105,2000
1,1,172,6,0,2,4,1,2,21,16,3105,2000
1,1,172,6,0,1,4,1,2,24,17,3105,2000
1,1,172,6,1,2,4,1,3,20,16,3105,2000
1,1,172,6,0,1,4,1,2,24,17,3105,2000
1,1,172,6,0,1,4,1,2,24,17,3105,2000
1,1,172,6,0,2,4,1,2,21,16,3105,2000
1,1,172,6,1,1,4,1,3,21,16,3105,2000
1,1,172,6,0,2,4,1,2,22,16,3105,2000
1,1,172,6,0,1,4,1,2,22,17,3105,2000
1,1,172,6,1,1,4,1,2,22,16,3105,2000
1,1,172,6,1,2,4,1,3,21,16,3105,2000
2,0,160,4,0,0,2,0,1,35,26,819,27495
2,0,160,4,0,0,2,0,1,35,26,819,24995
2,0,160,4,0,0,2,0,1,35,26,819,28195
4,1,130,4,0,0,4,0,2,26,18,617,2000
4,1,158,6,0,0,4,0,2,25,17,617,2000
4,1,158,6,0,0,4,0,2,25,17,617,2000
4,1,130,4,0,0,4,0,2,26,18,617,2000
4,1,130,4,0,0,4,0,2,26,18,617,2000
4,1,158,6,0,0,4,0,2,25,17,617,2000
0,0,240,4,1,0,2,0,0,35,23,3916,32850
0,0,240,4,1,0,2,0,1,34,23,3916,38650
0,0,320,6,1,0,2,0,1,31,20,3916,48750
0,0,240,4,1,2,2,0,0,35,23,3916,34850
0,0,240,4,1,2,2,0,1,34,22,3916,40650
0,0,320,6,1,0,2,0,0,31,20,3916,44150
0,0,240,4,0,0,2,0,0,34,22,3916,32850
0,0,320,6,1,2,2,0,0,30,20,3916,46150
0,0,320,6,1,0,2,0,1,30,20,3916,50750
0,0,335,6,1,2,2,0,0,31,21,3916,46450
0,0,335,6,1,0,2,0,1,32,21,3916,49050
0,0,335,6,1,2,2,0,1,32,21,3916,51050
0,0,335,6,1,0,2,0,0,32,21,3916,44450
0,0,248,4,1,0,2,0,1,34,23,3916,38950
0,0,248,4,1,0,2,0,0,35,24,3916,33150
0,0,248,4,1,2,2,0,0,33,24,3916,35150
0,0,248,4,1,2,2,0,1,33,23,3916,40950
1,1,162,5,1,1,4,1,2,20,16,3105,2000
1,1,162,5,0,2,4,1,3,22,15,3105,2000
1,1,162,5,0,2,4,1,2,23,15,3105,2000
1,1,217,5,0,2,4,1,2,22,16,3105,2000
1,1,217,5,0,2,4,1,3,22,16,3105,2000
1,1,162,5,1,1,4,1,2,20,16,3105,2000
5,2,184,4,1,1,4,1,2,36,23,1013,25170
5,2,184,4,1,1,4,1,2,36,23,1013,23950
5,2,295,6,1,2,4,1,2,29,18,1013,29370
5,2,184,4,1,1,4,1,2,36,23,1013,21995
5,2,184,4,1,1,4,1,2,36,23,1013,26625
5,2,295,6,1,2,4,1,2,29,18,1013,30825
5,2,184,4,1,1,4,1,2,36,23,1013,21995
5,2,184,4,1,1,4,1,2,36,23,1013,27795
5,2,295,6,1,2,4,1,2,29,18,1013,31785
5,2,295,6,1,2,4,1,2,29,18,1013,29905
5,2,184,4,1,1,4,1,2,36,23,1013,22490
5,2,184,4,1,1,4,1,2,36,23,1013,27570
5,2,184,4,1,1,4,1,2,36,23,1013,25690
5,2,184,4,1,1,4,1,2,36,23,1013,24490
5,2,295,6,1,2,4,1,2,28,18,1013,29905
5,2,295,6,1,2,4,1,2,28,18,1013,31785
5,2,184,4,1,1,4,1,2,36,23,1013,26685
5,2,184,4,1,1,4,1,2,36,23,1013,22490
5,2,184,4,1,1,4,1,2,36,23,1013,25690
5,2,295,6,1,2,4,1,2,28,18,1013,30900
5,2,184,4,1,1,4,1,2,36,23,1013,27795
5,2,184,4,1,1,4,1,2,36,23,1013,21995
5,2,184,4,1,1,4,1,2,36,23,1013,24490
6,1,115,4,0,1,2,0,0,36,26,2009,2000
6,1,115,4,0,1,2,0,0,36,26,2009,2000
6,1,140,4,0,1,2,0,0,29,21,2009,2000
6,1,140,4,0,1,2,0,0,29,21,2009,2000
6,1,115,4,0,1,2,0,0,35,25,2009,2000
6,1,115,4,0,1,2,0,0,35,25,2009,2000
6,1,115,4,0,1,2,0,0,35,25,2009,2000
6,1,115,4,0,1,2,0,0,35,25,2009,2000
6,1,140,4,0,1,2,0,0,28,20,2009,2073
6,1,155,4,0,0,2,0,0,26,19,2009,3713
6,1,155,4,0,0,2,0,0,26,19,2009,3520
6,1,155,4,0,0,2,0,0,26,19,2009,3910
6,1,155,4,0,0,2,0,0,26,19,2009,4182
6,1,155,4,0,0,2,0,0,26,19,2009,4107
6,1,155,4,0,0,2,0,0,25,20,2009,4299
6,1,155,4,0,0,2,0,0,25,20,2009,4693
6,1,155,4,0,0,2,0,0,25,20,2009,4107
7,1,114,4,0,0,4,1,3,26,19,870,2000
7,1,114,4,1,0,4,1,3,23,18,870,2000
7,1,114,4,0,0,4,1,2,26,19,870,2000
7,1,114,4,0,0,4,1,2,26,19,870,2000
7,1,114,4,0,0,4,1,3,26,19,870,2000
7,1,114,4,0,0,4,1,2,26,19,870,2000
7,1,114,4,0,0,4,1,2,26,19,870,2000
7,1,114,4,0,0,4,1,3,25,18,870,2000
8,1,100,4,0,1,4,0,4,35,29,586,16020
8,1,100,4,0,1,4,0,4,35,29,586,14530
8,1,100,4,1,1,4,0,4,34,28,586,16860
8,1,100,4,1,1,4,0,4,34,28,586,15370
8,1,100,4,1,1,4,0,4,34,28,586,17050
8,1,100,4,1,1,4,0,4,34,28,586,15560
8,1,100,4,0,1,4,0,4,35,29,586,16210
8,1,100,4,0,1,4,0,4,35,29,586,14720
8,1,100,4,1,1,4,0,4,34,28,586,17050
8,1,100,4,1,1,4,0,4,34,28,586,15560
8,1,100,4,0,1,4,0,4,35,29,586,16210
8,1,100,4,0,1,4,0,4,35,29,586,14720
0,0,300,6,1,2,4,1,4,30,20,3916,47250
0,0,240,4,1,2,4,1,4,33,22,3916,41850
0,0,240,4,1,2,4,1,4,33,22,3916,41850
0,0,240,4,1,2,4,1,4,34,22,3916,43000
0,0,300,6,1,2,4,1,4,30,20,3916,49200
0,0,320,6,1,2,4,1,4,30,20,3916,49650
0,0,248,4,1,2,4,1,4,33,23,3916,43950
0,0,241,4,1,2,4,1,3,33,22,3916,41950
0,0,335,6,1,0,4,1,2,33,25,3916,50150
0,0,240,4,1,0,4,1,2,35,23,3916,37500
0,0,300,6,1,0,4,1,2,32,21,3916,43750
0,3,180,4,1,0,4,1,2,45,32,3916,39000
0,0,240,4,1,2,4,1,2,33,22,3916,39500
0,0,240,4,1,2,4,1,2,33,22,3916,39500
0,0,180,4,1,2,4,1,2,35,23,3916,34950
0,0,300,6,1,2,4,1,2,30,20,3916,45750
0,3,180,4,1,2,4,1,3,43,31,3916,43450
0,0,240,4,1,0,4,1,2,35,23,3916,37500
0,3,180,4,1,2,4,1,2,43,31,3916,41000
0,0,180,4,1,0,4,1,2,36,24,3916,32950
0,3,180,4,1,2,4,1,2,40,30,3916,41850
0,0,320,6,1,2,4,1,2,33,22,3916,47800
0,3,180,4,1,0,4,1,2,42,32,3916,39850
0,0,240,4,1,0,4,1,2,34,22,3916,38350
0,0,240,4,1,2,4,1,2,34,22,3916,40350
0,0,240,4,0,0,4,1,2,34,22,3916,38350
0,0,240,4,1,2,4,1,3,34,22,3916,42650
0,0,180,4,1,0,4,1,2,36,24,3916,33150
0,0,180,4,1,2,4,1,2,35,23,3916,35150
0,3,180,4,1,2,4,1,3,40,30,3916,44150
0,0,320,6,1,0,4,1,2,33,22,3916,45800
0,0,248,4,1,0,4,1,2,34,23,3916,38750
0,0,180,4,1,2,4,1,2,34,23,3916,35450
0,0,180,4,1,0,4,1,2,35,23,3916,33450
0,0,248,4,1,2,4,1,2,33,23,3916,40750
0,3,180,4,1,2,4,1,2,40,30,3916,42250
0,0,248,4,1,2,4,1,3,33,23,3916,42950
0,3,180,4,1,0,4,1,2,42,32,3916,40250
0,0,320,6,1,2,4,1,2,31,21,3916,49900
0,0,320,6,1,0,4,1,2,32,21,3916,47900
0,3,180,4,1,2,4,1,3,40,30,3916,44450
4,1,177,6,1,0,4,2,2,19,15,617,2232
4,1,177,6,1,0,4,1,3,20,15,617,2000
4,1,158,6,1,0,4,1,2,22,17,617,2000
4,1,177,6,1,2,4,1,2,20,15,617,2105
4,1,177,6,1,2,4,1,3,18,15,617,2199
4,1,177,6,1,0,4,1,2,22,16,617,2000
4,1,177,6,1,0,4,2,2,19,15,617,2124
4,1,228,6,0,0,2,0,1,21,14,617,3552
4,1,217,6,1,0,2,1,0,22,15,617,2179
4,3,121,5,1,0,4,1,2,30,23,617,2000
4,3,121,5,1,0,4,1,2,29,23,617,2000
4,1,228,6,1,0,4,2,2,17,14,617,2377
4,1,228,6,0,0,2,0,1,21,15,617,3814
4,1,177,6,1,2,4,1,2,19,15,617,2207
4,1,177,6,1,0,4,1,3,20,15,617,2000
4,1,217,6,1,0,2,1,0,21,15,617,2248
4,1,177,6,1,0,4,1,2,22,16,617,2065
4,3,148,6,1,0,4,2,2,22,18,617,2547
4,1,177,6,1,2,4,1,3,18,15,617,2282
4,1,158,6,1,0,4,1,2,23,18,617,2000
4,1,177,6,1,2,4,1,3,19,15,617,2544
4,1,217,6,1,0,2,1,0,22,17,617,2397
4,3,121,5,1,0,4,1,2,30,23,617,2000
4,1,228,6,0,0,2,0,1,21,14,617,4174
4,1,217,6,1,0,4,1,2,22,17,617,2187
4,3,148,6,1,0,4,2,2,22,18,617,2729
4,1,177,6,1,2,4,1,2,19,15,617,2433
4,1,194,6,1,0,4,1,2,23,17,617,2247
4,1,228,6,1,0,4,2,2,18,14,617,2540
9,1,218,6,0,1,2,0,5,23,17,436,3941
9,1,161,6,0,1,2,0,5,22,17,436,3295
9,1,320,6,0,2,2,0,5,22,16,436,6008
9,1,320,6,0,2,2,0,5,22,16,436,6710
9,1,161,6,0,1,2,0,5,22,17,436,3701
9,1,218,6,0,1,2,0,5,23,17,436,4671
9,1,218,6,0,1,2,0,5,23,17,436,5306
9,1,320,6,0,2,2,0,5,22,16,436,7600
9,1,161,6,0,1,2,0,5,22,17,436,4090
5,1,300,6,1,2,4,2,2,27,18,1013,37570
5,1,292,6,1,0,4,2,2,31,19,1013,31695
5,1,292,6,1,0,4,2,2,31,19,1013,38070
5,1,292,6,1,2,4,2,2,27,18,1013,44895
5,1,300,6,1,0,4,2,2,31,19,1013,35070
5,1,292,6,1,0,4,2,2,31,19,1013,42395
5,1,292,6,1,2,4,2,2,27,18,1013,34195
5,1,292,6,1,2,4,2,2,27,18,1013,40570
5,1,300,6,1,2,4,2,2,27,18,1013,38095
5,1,300,6,1,0,4,2,2,31,19,1013,35595
5,1,292,6,1,2,4,2,2,27,18,1013,45190
5,1,292,6,1,0,4,2,2,31,19,1013,32260
5,1,292,6,1,2,4,2,2,27,18,1013,37755
5,1,292,6,1,2,4,2,2,27,18,1013,41055
5,1,300,6,1,0,4,2,2,31,19,1013,36090
5,1,292,6,1,0,4,2,2,31,19,1013,42690
5,1,292,6,1,0,4,2,2,31,19,1013,38555
5,1,292,6,1,0,4,2,2,31,19,1013,35255
5,1,300,6,1,2,4,2,2,27,18,1013,38590
5,1,292,6,1,2,4,2,2,27,18,1013,34760
5,1,292,6,1,2,4,2,2,27,18,1013,41135
5,1,292,6,1,2,4,2,2,27,18,1013,45270
5,1,300,6,1,2,4,2,2,27,18,1013,38670
5,1,292,6,1,0,4,2,2,30,19,1013,38635
5,1,300,6,1,0,4,2,2,30,19,1013,36170
5,1,300,6,1,2,4,2,2,27,18,1013,38175
5,1,292,6,1,0,4,2,2,30,19,1013,32340
5,1,292,6,1,0,4,2,2,30,19,1013,42770
5,1,292,6,1,2,4,2,2,27,18,1013,34840
5,1,300,6,1,0,4,2,2,30,19,1013,35675
5,0,250,6,1,1,4,2,2,24,16,1013,32065
5,0,250,6,1,1,4,2,2,24,16,1013,28540
5,0,255,6,1,1,4,2,2,25,16,1013,32315
5,1,250,6,1,1,4,2,2,25,16,1013,28885
5,1,250,6,1,1,4,2,2,25,16,1013,29185
5,0,255,6,1,1,4,2,2,25,16,1013,32615
6,1,222,6,0,0,2,0,1,22,16,2009,2847
6,1,222,6,0,0,2,0,0,22,16,2009,2488
6,1,300,6,0,0,2,0,5,22,16,2009,2683
6,1,222,6,0,0,2,0,0,22,16,2009,2553
6,1,300,6,0,0,2,0,0,22,16,2009,3049
6,1,222,6,0,0,2,0,0,22,17,2009,2774
6,1,222,6,0,0,2,0,0,22,17,2009,2702
6,1,222,6,0,0,2,0,1,22,17,2009,3101
6,1,300,6,0,0,2,0,0,22,16,2009,3510
6,1,222,6,0,0,2,0,0,22,17,2009,3107
6,1,222,6,0,0,2,0,1,22,17,2009,3624
6,1,222,6,0,0,2,0,0,22,17,2009,3185
8,1,82,4,0,1,2,0,5,33,25,586,2000
8,1,82,4,0,1,2,0,5,33,25,586,2000
8,1,82,4,0,1,2,0,5,33,25,586,2000
8,1,82,4,0,1,2,0,5,32,24,586,2000
8,1,82,4,0,1,2,0,5,33,25,586,2000
4,3,134,6,1,0,4,2,2,23,19,617,2144
4,3,134,6,1,0,4,2,2,23,19,617,2098
4,3,134,6,1,0,4,2,2,23,19,617,2178
4,3,134,6,1,0,4,2,2,23,19,617,2311
6,1,306,6,1,0,2,0,1,23,17,2009,36550
6,1,306,6,1,0,2,0,1,23,17,2009,41250
6,1,306,6,1,0,2,0,0,24,17,2009,30600
6,1,306,6,1,0,2,0,0,24,17,2009,37100
6,1,306,6,0,0,2,0,0,25,18,2009,27900
6,1,306,6,0,0,2,0,0,25,18,2009,32700
6,1,306,6,0,0,2,0,1,24,17,2009,40250
6,1,306,6,0,0,2,0,1,24,17,2009,35550
6,1,306,6,0,0,2,0,0,25,18,2009,36100
6,1,306,6,1,0,2,0,0,24,17,2009,33200
6,1,306,6,0,0,2,0,1,24,17,2009,37900
6,1,306,6,0,0,2,0,0,25,18,2009,29600
6,1,306,6,0,0,2,0,0,25,18,2009,38070
6,1,306,6,1,0,2,0,1,23,17,2009,38900
